"data","cat_pergunta","dado","cat_recorte","recorte","valor"
"2014-10-08","vida_hoje","Satisfeito","sexo","FEM",78
"2014-10-08","vida_hoje","Insatisfeito","sexo","FEM",22
"2014-10-08","vida_hoje","NS/NR*","sexo","FEM",1
"2014-10-08","vida_hoje","Satisfeito","sexo","MAS",82
"2014-10-08","vida_hoje","Insatisfeito","sexo","MAS",18
"2014-10-08","vida_hoje","NS/NR*","sexo","MAS",0
"2014-10-08","interesse","Tem muito interesse","sexo","FEM",28
"2014-10-08","interesse","Tem médio interesse","sexo","FEM",35
"2014-10-08","interesse","Não tem interesse","sexo","FEM",37
"2014-10-08","interesse","NS/NR*","sexo","FEM",1
"2014-10-08","interesse","Tem muito interesse","sexo","MAS",33
"2014-10-08","interesse","Tem médio interesse","sexo","MAS",36
"2014-10-08","interesse","Não tem interesse","sexo","MAS",31
"2014-10-08","interesse","NS/NR*","sexo","MAS",0
"2014-10-08","intencao_espontanea","Aécio Neves2","sexo","FEM",43
"2014-10-08","intencao_espontanea","Branco e Nulo2","sexo","FEM",7
"2014-10-08","intencao_espontanea","Dilma Rousseff2","sexo","FEM",41
"2014-10-08","intencao_espontanea","NS/NR*2","sexo","FEM",8
"2014-10-08","intencao_espontanea","Outros2","sexo","FEM",1
"2014-10-08","intencao_espontanea","Aécio Neves2","sexo","MAS",44
"2014-10-08","intencao_espontanea","Branco e Nulo2","sexo","MAS",8
"2014-10-08","intencao_espontanea","Dilma Rousseff2","sexo","MAS",42
"2014-10-08","intencao_espontanea","NS/NR*2","sexo","MAS",6
"2014-10-08","intencao_espontanea","Outros2","sexo","MAS",0
"2014-10-08","aprova_dilma","Aprova","sexo","FEM",49
"2014-10-08","aprova_dilma","Desaprova","sexo","FEM",44
"2014-10-08","aprova_dilma","NS/NR*","sexo","FEM",8
"2014-10-08","aprova_dilma","Aprova","sexo","MAS",50
"2014-10-08","aprova_dilma","Desaprova","sexo","MAS",44
"2014-10-08","aprova_dilma","NS/NR*","sexo","MAS",6
"2014-10-08","rejeicao","Dilma Rousseff2","sexo","FEM",41
"2014-10-08","rejeicao","Aécio Neves2","sexo","FEM",32
"2014-10-08","rejeicao","Dilma Rousseff2","sexo","MAS",41
"2014-10-08","rejeicao","Aécio Neves2","sexo","MAS",34
"2014-10-08","segundo_turno_aecio","Aécio Neves2","sexo","FEM",46
"2014-10-08","segundo_turno_aecio","Branco e Nulo2","sexo","FEM",6
"2014-10-08","segundo_turno_aecio","Dilma Rousseff2","sexo","FEM",43
