"data","cat_dado","dado","cat_recorte","recorte","variavel"
"abril","vida_hoje","Muito satisfeito","sexo","MAS",9.7
"abril","vida_hoje","Satisfeito","sexo","MAS",71.3
"abril","vida_hoje","Insatisfeito","sexo","MAS",17.1
"abril","vida_hoje","Muito insatisfeito","sexo","MAS",1.6
"abril","vida_hoje","Não sabe/ Não respondeu","sexo","MAS",0.3
"abril","vida_hoje","Muito satisfeito","sexo","FEM",7.6
"abril","vida_hoje","Satisfeito","sexo","FEM",69.1
"abril","vida_hoje","Insatisfeito","sexo","FEM",21
"abril","vida_hoje","Muito insatisfeito","sexo","FEM",1.5
"abril","vida_hoje","Não sabe/ Não respondeu","sexo","FEM",0.8
"abril","interesse_eleicoes","Muito interesse","sexo","MAS",16.5
"abril","interesse_eleicoes","Interesse médio","sexo","MAS",27.2
"abril","interesse_eleicoes","Pouco interesse","sexo","MAS",29.3
"abril","interesse_eleicoes","Nenhum interesse nas eleições que ocorrerão em outubro","sexo","MAS",25.9
"abril","interesse_eleicoes","Não sabe/ Não respondeu","sexo","MAS",1.1
"abril","interesse_eleicoes","Muito interesse","sexo","FEM",12.9
"abril","interesse_eleicoes","Interesse médio","sexo","FEM",29.2
"abril","interesse_eleicoes","Pouco interesse","sexo","FEM",28.3
"abril","interesse_eleicoes","Nenhum interesse nas eleições que ocorrerão em outubro","sexo","FEM",28.1
"abril","interesse_eleicoes","Não sabe/ Não respondeu","sexo","FEM",1.5
"abril","intencao_espontanea","Aécio Neves","sexo","MAS",9
"abril","intencao_espontanea","Dilma Rousseff","sexo","MAS",23.5
"abril","intencao_espontanea","Eduardo Campos","sexo","MAS",2.3
"abril","intencao_espontanea","José Serra","sexo","MAS",1.2
"abril","intencao_espontanea","Lula","sexo","MAS",7.3
"abril","intencao_espontanea","Marina Silva","sexo","MAS",3.5
"abril","intencao_espontanea","Outros com menos de 1%","sexo","MAS",1.7
"abril","intencao_espontanea","Branco/ Nulo","sexo","MAS",17.7
"abril","intencao_espontanea","Não sabe/ Não respondeu","sexo","MAS",33.9
"abril","intencao_espontanea","Aécio Neves","sexo","FEM",5.6
"abril","intencao_espontanea","Dilma Rousseff","sexo","FEM",22.3
"abril","intencao_espontanea","Eduardo Campos","sexo","FEM",0.9
"abril","intencao_espontanea","José Serra","sexo","FEM",1.5
"abril","intencao_espontanea","Lula","sexo","FEM",5.4
"abril","intencao_espontanea","Marina Silva","sexo","FEM",3.6
"abril","intencao_espontanea","Outros com menos de 1%","sexo","FEM",1.5
"abril","intencao_espontanea","Branco/ Nulo","sexo","FEM",19.6
"abril","intencao_espontanea","Não sabe/ Não respondeu","sexo","FEM",39.5
"abril","intencao_estimulada","Aécio Neves","sexo","MAS",16.8
"abril","intencao_estimulada","Denise Abreu","sexo","MAS",1.6
"abril","intencao_estimulada","Dilma Rousseff","sexo","MAS",36.8
"abril","intencao_estimulada","Eduardo Campos","sexo","MAS",6.9
"abril","intencao_estimulada","Levy Fidélix","sexo","MAS",0.2
"abril","intencao_estimulada","Mauro Iasi","sexo","MAS",0.3
"abril","intencao_estimulada","Pastor Everaldo","sexo","MAS",1.7
"abril","intencao_estimulada","Randolfe Rodrigues","sexo","MAS",1.2
"abril","intencao_estimulada","Eduardo Jorge","sexo","MAS",0.6
"abril","intencao_estimulada","Branco/ Nulo","sexo","MAS",21.6
"abril","intencao_estimulada","Não sabe/ Não respondeu","sexo","MAS",12.3
"abril","intencao_estimulada","Aécio Neves","sexo","FEM",12.4
"abril","intencao_estimulada","Denise Abreu","sexo","FEM",1
"abril","intencao_estimulada","Dilma Rousseff","sexo","FEM",37.2
"abril","intencao_estimulada","Eduardo Campos","sexo","FEM",4.4
"abril","intencao_estimulada","Levy Fidélix","sexo","FEM",0.5
"abril","intencao_estimulada","Mauro Iasi","sexo","FEM",0.3
"abril","intencao_estimulada","Pastor Everaldo","sexo","FEM",2.2
"abril","intencao_estimulada","Randolfe Rodrigues","sexo","FEM",0.7
"abril","intencao_estimulada","Eduardo Jorge","sexo","FEM",0.3
"abril","intencao_estimulada","Branco/ Nulo","sexo","FEM",26.9
"abril","intencao_estimulada","Não sabe/ Não respondeu","sexo","FEM",14.2
"abril","avaliacao_governo","Ótimo","sexo","MAS",6.6
"abril","avaliacao_governo","Bom","sexo","MAS",29.2
"abril","avaliacao_governo","Regular","sexo","MAS",33.5
"abril","avaliacao_governo","Ruim","sexo","MAS",14.2
"abril","avaliacao_governo","Péssimo","sexo","MAS",14.8
"abril","avaliacao_governo","Não sabe/ Não respondeu","sexo","MAS",1.7
"abril","avaliacao_governo","Ótimo","sexo","FEM",5.7
"abril","avaliacao_governo","Bom","sexo","FEM",27.1
"abril","avaliacao_governo","Regular","sexo","FEM",34.9
"abril","avaliacao_governo","Ruim","sexo","FEM",13.1
"abril","avaliacao_governo","Péssimo","sexo","FEM",17.7
"abril","avaliacao_governo","Não sabe/ Não respondeu","sexo","FEM",1.6
"abril","aprova_dilma","Aprova","sexo","MAS",48.9
"abril","aprova_dilma","Desaprova","sexo","MAS",46
"abril","aprova_dilma","Não sabe/ Não respondeu","sexo","MAS",5.1
"abril","aprova_dilma","Aprova","sexo","FEM",45.2
"abril","aprova_dilma","Desaprova","sexo","FEM",48.9
"abril","aprova_dilma","Não sabe/ Não respondeu","sexo","FEM",5.9
"abril","grau_mudanca","Mudasse totalmente o governo do país","sexo","MAS",30.8
"abril","grau_mudanca","Mantivesse só alguns programas, mas mudasse muita coisa","sexo","MAS",38.6
"abril","grau_mudanca","Fizesse poucas mudanças e desse continuidade para muita coisa","sexo","MAS",19.9
"abril","grau_mudanca","Desse total continuidade ao governo atual","sexo","MAS",8.1
"abril","grau_mudanca","Não sabe/ Não respondeu","sexo","MAS",2.6
"abril","grau_mudanca","Mudasse totalmente o governo do país","sexo","FEM",29.5
"abril","grau_mudanca","Mantivesse só alguns programas, mas mudasse muita coisa","sexo","FEM",38
"abril","grau_mudanca","Fizesse poucas mudanças e desse continuidade para muita coisa","sexo","FEM",20.3
"abril","grau_mudanca","Desse total continuidade ao governo atual","sexo","FEM",8.5
"abril","grau_mudanca","Não sabe/ Não respondeu","sexo","FEM",3.7
"abril","vida_hoje","Muito satisfeito","idade","16 E 17",20
"abril","vida_hoje","Satisfeito","idade","16 E 17",66.7
"abril","vida_hoje","Insatisfeito","idade","16 E 17",8.9
"abril","vida_hoje","Muito insatisfeito","idade","16 E 17",0
"abril","vida_hoje","Não sabe/ Não respondeu","idade","16 E 17",4.4
"abril","vida_hoje","Muito satisfeito","idade","18 A 24",8.7
"abril","vida_hoje","Satisfeito","idade","18 A 24",76.7
"abril","vida_hoje","Insatisfeito","idade","18 A 24",13.7
"abril","vida_hoje","Muito insatisfeito","idade","18 A 24",0.6
"abril","vida_hoje","Não sabe/ Não respondeu","idade","18 A 24",0.3
"abril","vida_hoje","Muito satisfeito","idade","25 A 34",7.2
"abril","vida_hoje","Satisfeito","idade","25 A 34",71.1
"abril","vida_hoje","Insatisfeito","idade","25 A 34",20.4
"abril","vida_hoje","Muito insatisfeito","idade","25 A 34",0.9
"abril","vida_hoje","Não sabe/ Não respondeu","idade","25 A 34",0.4
"abril","vida_hoje","Muito satisfeito","idade","35 A 44",8.4
"abril","vida_hoje","Satisfeito","idade","35 A 44",70.7
"abril","vida_hoje","Insatisfeito","idade","35 A 44",18.6
"abril","vida_hoje","Muito insatisfeito","idade","35 A 44",1.8
"abril","vida_hoje","Não sabe/ Não respondeu","idade","35 A 44",0.5
"abril","vida_hoje","Muito satisfeito","idade","45 A 54",7.1
"abril","vida_hoje","Satisfeito","idade","45 A 54",69.7
"abril","vida_hoje","Insatisfeito","idade","45 A 54",20.3
"abril","vida_hoje","Muito insatisfeito","idade","45 A 54",2.6
"abril","vida_hoje","Não sabe/ Não respondeu","idade","45 A 54",0.3
"abril","vida_hoje","Muito satisfeito","idade","55 A 64",11.9
"abril","vida_hoje","Satisfeito","idade","55 A 64",66.5
"abril","vida_hoje","Insatisfeito","idade","55 A 64",18.9
"abril","vida_hoje","Muito insatisfeito","idade","55 A 64",2.2
"abril","vida_hoje","Não sabe/ Não respondeu","idade","55 A 64",0.4
"abril","vida_hoje","Muito satisfeito","idade","65 E MAIS",8.4
"abril","vida_hoje","Satisfeito","idade","65 E MAIS",61.9
"abril","vida_hoje","Insatisfeito","idade","65 E MAIS",26.7
"abril","vida_hoje","Muito insatisfeito","idade","65 E MAIS",2
"abril","vida_hoje","Não sabe/ Não respondeu","idade","65 E MAIS",1
"abril","interesse_eleicoes","Muito interesse","idade","16 E 17",20
"abril","interesse_eleicoes","Interesse médio","idade","16 E 17",20
"abril","interesse_eleicoes","Pouco interesse","idade","16 E 17",22.2
"abril","interesse_eleicoes","Nenhum interesse nas eleições que ocorrerão em outubro","idade","16 E 17",31.1
"abril","interesse_eleicoes","Não sabe/ Não respondeu","idade","16 E 17",6.7
"abril","interesse_eleicoes","Muito interesse","idade","18 A 24",12.8
"abril","interesse_eleicoes","Interesse médio","idade","18 A 24",28.4
"abril","interesse_eleicoes","Pouco interesse","idade","18 A 24",32.8
"abril","interesse_eleicoes","Nenhum interesse nas eleições que ocorrerão em outubro","idade","18 A 24",24.8
"abril","interesse_eleicoes","Não sabe/ Não respondeu","idade","18 A 24",1.2
"abril","interesse_eleicoes","Muito interesse","idade","25 A 34",15.6
"abril","interesse_eleicoes","Interesse médio","idade","25 A 34",30.6
"abril","interesse_eleicoes","Pouco interesse","idade","25 A 34",25.4
"abril","interesse_eleicoes","Nenhum interesse nas eleições que ocorrerão em outubro","idade","25 A 34",27.1
"abril","interesse_eleicoes","Não sabe/ Não respondeu","idade","25 A 34",1.3
"abril","interesse_eleicoes","Muito interesse","idade","35 A 44",14.5
"abril","interesse_eleicoes","Interesse médio","idade","35 A 44",27.6
"abril","interesse_eleicoes","Pouco interesse","idade","35 A 44",26.8
"abril","interesse_eleicoes","Nenhum interesse nas eleições que ocorrerão em outubro","idade","35 A 44",29.8
"abril","interesse_eleicoes","Não sabe/ Não respondeu","idade","35 A 44",1.3
"abril","interesse_eleicoes","Muito interesse","idade","45 A 54",13.8
"abril","interesse_eleicoes","Interesse médio","idade","45 A 54",28.5
"abril","interesse_eleicoes","Pouco interesse","idade","45 A 54",27.6
"abril","interesse_eleicoes","Nenhum interesse nas eleições que ocorrerão em outubro","idade","45 A 54",29.4
"abril","interesse_eleicoes","Não sabe/ Não respondeu","idade","45 A 54",0.6
"abril","interesse_eleicoes","Muito interesse","idade","55 A 64",14.5
"abril","interesse_eleicoes","Interesse médio","idade","55 A 64",29.1
"abril","interesse_eleicoes","Pouco interesse","idade","55 A 64",30
"abril","interesse_eleicoes","Nenhum interesse nas eleições que ocorrerão em outubro","idade","55 A 64",23.8
"abril","interesse_eleicoes","Não sabe/ Não respondeu","idade","55 A 64",2.6
"abril","interesse_eleicoes","Muito interesse","idade","65 E MAIS",15.8
"abril","interesse_eleicoes","Interesse médio","idade","65 E MAIS",24.3
"abril","interesse_eleicoes","Pouco interesse","idade","65 E MAIS",35.6
"abril","interesse_eleicoes","Nenhum interesse nas eleições que ocorrerão em outubro","idade","65 E MAIS",24.3
"abril","interesse_eleicoes","Não sabe/ Não respondeu","idade","65 E MAIS",0
"abril","intencao_espontanea","Aécio Neves","idade","16 E 17",6.7
"abril","intencao_espontanea","Dilma Rousseff","idade","16 E 17",22.2
"abril","intencao_espontanea","Lula","idade","16 E 17",8.9
"abril","intencao_espontanea","Marina Silva","idade","16 E 17",8.9
"abril","intencao_espontanea","Outros com menos de 1%","idade","16 E 17",2.2
"abril","intencao_espontanea","Branco/ Nulo","idade","16 E 17",11.1
"abril","intencao_espontanea","Não sabe/ Não respondeu","idade","16 E 17",40
"abril","intencao_espontanea","Aécio Neves","idade","18 A 24",6.5
