"","data","cat_pergunta","dado","cat_recorte","recorte","valor"
"1","2014-07-21","vida_hoje","Satisfeito","sexo","FEM",77
"2","2014-07-21","vida_hoje","Insatisfeito","sexo","FEM",23
"3","2014-07-21","vida_hoje","NS/NR*","sexo","FEM",0
"4","2014-07-21","vida_hoje","Satisfeito","sexo","MAS",80
"5","2014-07-21","vida_hoje","Insatisfeito","sexo","MAS",19
"6","2014-07-21","vida_hoje","NS/NR*","sexo","MAS",0
"7","2014-07-21","interesse","Tem muito interesse","sexo","FEM",16
"8","2014-07-21","interesse","Tem médio interesse","sexo","FEM",25
"9","2014-07-21","interesse","Não tem interesse","sexo","FEM",59
"10","2014-07-21","interesse","NS/NR*","sexo","FEM",1
"11","2014-07-21","interesse","Tem muito interesse","sexo","MAS",19
"12","2014-07-21","interesse","Tem médio interesse","sexo","MAS",29
"13","2014-07-21","interesse","Não tem interesse","sexo","MAS",52
"14","2014-07-21","interesse","NS/NR*","sexo","MAS",0
"15","2014-07-21","intencao_espontanea","Aécio Neves","sexo","FEM",10
"16","2014-07-21","intencao_espontanea","Branco e Nulo","sexo","FEM",17
"17","2014-07-21","intencao_espontanea","Dilma Rousseff","sexo","FEM",23
"18","2014-07-21","intencao_espontanea","Eduardo Campos","sexo","FEM",4
"19","2014-07-21","intencao_espontanea","NS/NR*","sexo","FEM",45
"20","2014-07-21","intencao_espontanea","Outros","sexo","FEM",2
"21","2014-07-21","intencao_espontanea","Aécio Neves","sexo","MAS",15
"22","2014-07-21","intencao_espontanea","Branco e Nulo","sexo","MAS",17
"23","2014-07-21","intencao_espontanea","Dilma Rousseff","sexo","MAS",28
"24","2014-07-21","intencao_espontanea","Eduardo Campos","sexo","MAS",5
"25","2014-07-21","intencao_espontanea","NS/NR*","sexo","MAS",33
"26","2014-07-21","intencao_espontanea","Outros","sexo","MAS",2
"27","2014-07-21","intencao_estimulada","Aécio Neves","sexo","FEM",20
"28","2014-07-21","intencao_estimulada","Branco e Nulo","sexo","FEM",16
"29","2014-07-21","intencao_estimulada","Dilma Rousseff","sexo","FEM",37
"30","2014-07-21","intencao_estimulada","Eduardo Campos","sexo","FEM",8
"31","2014-07-21","intencao_estimulada","NS/NR*","sexo","FEM",11
"32","2014-07-21","intencao_estimulada","Outros","sexo","FEM",5
"33","2014-07-21","intencao_estimulada","Pastor Everaldo","sexo","FEM",3
"34","2014-07-21","intencao_estimulada","Aécio Neves","sexo","MAS",24
"35","2014-07-21","intencao_estimulada","Branco e Nulo","sexo","MAS",15
"36","2014-07-21","intencao_estimulada","Dilma Rousseff","sexo","MAS",39
"37","2014-07-21","intencao_estimulada","Eduardo Campos","sexo","MAS",8
"38","2014-07-21","intencao_estimulada","NS/NR*","sexo","MAS",7
"39","2014-07-21","intencao_estimulada","Outros","sexo","MAS",4
"40","2014-07-21","intencao_estimulada","Pastor Everaldo","sexo","MAS",2
"41","2014-07-21","avaliacao_governo","Ótimo e bom","sexo","FEM",31
"42","2014-07-21","avaliacao_governo","Regular","sexo","FEM",35
"43","2014-07-21","avaliacao_governo","Ruim e péssimo","sexo","FEM",34
"44","2014-07-21","avaliacao_governo","NS/NR*","sexo","FEM",1
"45","2014-07-21","avaliacao_governo","Ótimo e bom","sexo","MAS",30
"46","2014-07-21","avaliacao_governo","Regular","sexo","MAS",37
"47","2014-07-21","avaliacao_governo","Ruim e péssimo","sexo","MAS",32
"48","2014-07-21","avaliacao_governo","NS/NR*","sexo","MAS",1
"49","2014-07-21","aprova_dilma","Aprova","sexo","FEM",43
"50","2014-07-21","aprova_dilma","Desaprova","sexo","FEM",51
"51","2014-07-21","aprova_dilma","NS/NR*","sexo","FEM",6
"52","2014-07-21","aprova_dilma","Aprova","sexo","MAS",45
"53","2014-07-21","aprova_dilma","Desaprova","sexo","MAS",49
