"data","cat_pergunta","dado","cat_recorte","recorte","valor"
"2014-06-07","interesse","Tem muito interesse","sexo","MAS",20
"2014-06-07","interesse","Tem médio interesse","sexo","MAS",27
"2014-06-07","interesse","Não tem interesse","sexo","MAS",53
"2014-06-07","interesse","NS/NR*","sexo","MAS",1
"2014-06-07","interesse","Tem muito interesse","sexo","FEM",16
"2014-06-07","interesse","Tem médio interesse","sexo","FEM",23
"2014-06-07","interesse","Não tem interesse","sexo","FEM",61
"2014-06-07","interesse","NS/NR*","sexo","FEM",0
"2014-06-07","intencao_espontanea","Aécio Neves","sexo","MAS",12
"2014-06-07","intencao_espontanea","Branco e Nulo","sexo","MAS",17
"2014-06-07","intencao_espontanea","Dilma Rousseff","sexo","MAS",22
"2014-06-07","intencao_espontanea","Eduardo Campos","sexo","MAS",4
"2014-06-07","intencao_espontanea","Lula","sexo","MAS",5
"2014-06-07","intencao_espontanea","Marina Silva","sexo","MAS",2
"2014-06-07","intencao_espontanea","NS/NR*","sexo","MAS",33
"2014-06-07","intencao_espontanea","Outros","sexo","MAS",5
"2014-06-07","intencao_espontanea","Aécio Neves","sexo","FEM",8
"2014-06-07","intencao_espontanea","Branco e Nulo","sexo","FEM",17
"2014-06-07","intencao_espontanea","Dilma Rousseff","sexo","FEM",19
"2014-06-07","intencao_espontanea","Eduardo Campos","sexo","FEM",2
"2014-06-07","intencao_espontanea","Lula","sexo","FEM",6
"2014-06-07","intencao_espontanea","Marina Silva","sexo","FEM",1
"2014-06-07","intencao_espontanea","NS/NR*","sexo","FEM",44
"2014-06-07","intencao_espontanea","Outros","sexo","FEM",4
"2014-06-07","intencao_estimulada","Aécio Neves","sexo","MAS",24
"2014-06-07","intencao_estimulada","Branco e Nulo","sexo","MAS",13
"2014-06-07","intencao_estimulada","Dilma Rousseff","sexo","MAS",38
"2014-06-07","intencao_estimulada","Eduardo Campos","sexo","MAS",13
"2014-06-07","intencao_estimulada","NS/NR*","sexo","MAS",6
"2014-06-07","intencao_estimulada","Outros","sexo","MAS",3
"2014-06-07","intencao_estimulada","Pastor Everaldo","sexo","MAS",2
"2014-06-07","intencao_estimulada","Aécio Neves","sexo","FEM",21
"2014-06-07","intencao_estimulada","Branco e Nulo","sexo","FEM",14
"2014-06-07","intencao_estimulada","Dilma Rousseff","sexo","FEM",37
"2014-06-07","intencao_estimulada","Eduardo Campos","sexo","FEM",13
"2014-06-07","intencao_estimulada","NS/NR*","sexo","FEM",8
"2014-06-07","intencao_estimulada","Outros","sexo","FEM",4
"2014-06-07","intencao_estimulada","Pastor Everaldo","sexo","FEM",3
"2014-06-07","avaliacao_governo","Ótimo e bom","sexo","MAS",30
"2014-06-07","avaliacao_governo","Regular","sexo","MAS",33
"2014-06-07","avaliacao_governo","Ruim e péssimo","sexo","MAS",36
"2014-06-07","avaliacao_governo","NS/NR*","sexo","MAS",1
"2014-06-07","avaliacao_governo","Ótimo e bom","sexo","FEM",32
"2014-06-07","avaliacao_governo","Regular","sexo","FEM",32
"2014-06-07","avaliacao_governo","Ruim e péssimo","sexo","FEM",35
"2014-06-07","avaliacao_governo","NS/NR*","sexo","FEM",1
"2014-06-07","aprova_dilma","Aprova","sexo","MAS",45
"2014-06-07","aprova_dilma","Desaprova","sexo","MAS",51
"2014-06-07","aprova_dilma","NS/NR*","sexo","MAS",3
"2014-06-07","aprova_dilma","Aprova","sexo","FEM",43
"2014-06-07","aprova_dilma","Desaprova","sexo","FEM",51
"2014-06-07","aprova_dilma","NS/NR*","sexo","FEM",6
"2014-06-07","rejeicao","Dilma Rousseff","sexo","MAS",38
"2014-06-07","rejeicao","Aécio Neves","sexo","MAS",19
"2014-06-07","rejeicao","Pastor Everaldo","sexo","MAS",20
"2014-06-07","rejeicao","Eduardo Campos","sexo","MAS",13
"2014-06-07","rejeicao","Dilma Rousseff","sexo","FEM",38
"2014-06-07","rejeicao","Aécio Neves","sexo","FEM",17
"2014-06-07","rejeicao","Pastor Everaldo","sexo","FEM",16
"2014-06-07","rejeicao","Eduardo Campos","sexo","FEM",12
"2014-06-07","2turno_aecio","Aécio Neves","sexo","MAS",36
"2014-06-07","2turno_aecio","Branco e Nulo","sexo","MAS",19
"2014-06-07","2turno_aecio","Dilma Rousseff","sexo","MAS",41
"2014-06-07","2turno_aecio","NS/NR*","sexo","MAS",4
"2014-06-07","2turno_aecio","Aécio Neves","sexo","FEM",30
"2014-06-07","2turno_aecio","Branco e Nulo","sexo","FEM",21
"2014-06-07","2turno_aecio","Dilma Rousseff","sexo","FEM",42
"2014-06-07","2turno_aecio","NS/NR*","sexo","FEM",6
"2014-06-07","2turno_campos","Branco e Nulo","sexo","MAS",20
"2014-06-07","2turno_campos","Dilma Rousseff","sexo","MAS",41
"2014-06-07","2turno_campos","Eduardo Campos","sexo","MAS",33
"2014-06-07","2turno_campos","NS/NR*","sexo","MAS",6
"2014-06-07","2turno_campos","Branco e Nulo","sexo","FEM",23
"2014-06-07","2turno_campos","Dilma Rousseff","sexo","FEM",41
"2014-06-07","2turno_campos","Eduardo Campos","sexo","FEM",28
"2014-06-07","2turno_campos","NS/NR*","sexo","FEM",9
"2014-06-07","interesse","Tem muito interesse","idade","16 a 24",15
"2014-06-07","interesse","Tem médio interesse","idade","16 a 24",27
"2014-06-07","interesse","Não tem interesse","idade","16 a 24",58
"2014-06-07","interesse","NS/NR*","idade","16 a 24",0
"2014-06-07","interesse","Tem muito interesse","idade","25 a 34",20
"2014-06-07","interesse","Tem médio interesse","idade","25 a 34",22
"2014-06-07","interesse","Não tem interesse","idade","25 a 34",58
"2014-06-07","interesse","NS/NR*","idade","25 a 34",1
"2014-06-07","interesse","Tem muito interesse","idade","35 a 44",15
"2014-06-07","interesse","Tem médio interesse","idade","35 a 44",25
"2014-06-07","interesse","Não tem interesse","idade","35 a 44",59
"2014-06-07","interesse","NS/NR*","idade","35 a 44",0
"2014-06-07","interesse","Tem muito interesse","idade","45 a 54",18
"2014-06-07","interesse","Tem médio interesse","idade","45 a 54",25
"2014-06-07","interesse","Não tem interesse","idade","45 a 54",57
"2014-06-07","interesse","NS/NR*","idade","45 a 54",0
"2014-06-07","interesse","Tem muito interesse","idade","55 ou mais",20
"2014-06-07","interesse","Tem médio interesse","idade","55 ou mais",25
"2014-06-07","interesse","Não tem interesse","idade","55 ou mais",54
"2014-06-07","interesse","NS/NR*","idade","55 ou mais",1
"2014-06-07","intencao_espontanea","Aécio Neves","idade","16 a 24",9
"2014-06-07","intencao_espontanea","Branco e Nulo","idade","16 a 24",18
"2014-06-07","intencao_espontanea","Dilma Rousseff","idade","16 a 24",14
"2014-06-07","intencao_espontanea","Eduardo Campos","idade","16 a 24",3
"2014-06-07","intencao_espontanea","Lula","idade","16 a 24",5
"2014-06-07","intencao_espontanea","Marina Silva","idade","16 a 24",3
"2014-06-07","intencao_espontanea","NS/NR*","idade","16 a 24",43
"2014-06-07","intencao_espontanea","Outros","idade","16 a 24",5
"2014-06-07","intencao_espontanea","Aécio Neves","idade","25 a 34",7
"2014-06-07","intencao_espontanea","Branco e Nulo","idade","25 a 34",19
"2014-06-07","intencao_espontanea","Dilma Rousseff","idade","25 a 34",23
"2014-06-07","intencao_espontanea","Eduardo Campos","idade","25 a 34",3
"2014-06-07","intencao_espontanea","Lula","idade","25 a 34",6
"2014-06-07","intencao_espontanea","Marina Silva","idade","25 a 34",1
"2014-06-07","intencao_espontanea","NS/NR*","idade","25 a 34",36
"2014-06-07","intencao_espontanea","Outros","idade","25 a 34",5
"2014-06-07","intencao_espontanea","Aécio Neves","idade","35 a 44",10
"2014-06-07","intencao_espontanea","Branco e Nulo","idade","35 a 44",17
"2014-06-07","intencao_espontanea","Dilma Rousseff","idade","35 a 44",20
"2014-06-07","intencao_espontanea","Eduardo Campos","idade","35 a 44",3
"2014-06-07","intencao_espontanea","Lula","idade","35 a 44",5
"2014-06-07","intencao_espontanea","Marina Silva","idade","35 a 44",1
"2014-06-07","intencao_espontanea","NS/NR*","idade","35 a 44",41
"2014-06-07","intencao_espontanea","Outros","idade","35 a 44",4
"2014-06-07","intencao_espontanea","Aécio Neves","idade","45 a 54",13
"2014-06-07","intencao_espontanea","Branco e Nulo","idade","45 a 54",17
"2014-06-07","intencao_espontanea","Dilma Rousseff","idade","45 a 54",22
"2014-06-07","intencao_espontanea","Eduardo Campos","idade","45 a 54",3
"2014-06-07","intencao_espontanea","Lula","idade","45 a 54",6
"2014-06-07","intencao_espontanea","Marina Silva","idade","45 a 54",1
"2014-06-07","intencao_espontanea","NS/NR*","idade","45 a 54",34
"2014-06-07","intencao_espontanea","Outros","idade","45 a 54",3
"2014-06-07","intencao_espontanea","Aécio Neves","idade","55 ou mais",12
"2014-06-07","intencao_espontanea","Branco e Nulo","idade","55 ou mais",14
"2014-06-07","intencao_espontanea","Dilma Rousseff","idade","55 ou mais",22
"2014-06-07","intencao_espontanea","Eduardo Campos","idade","55 ou mais",2
"2014-06-07","intencao_espontanea","Lula","idade","55 ou mais",7
"2014-06-07","intencao_espontanea","Marina Silva","idade","55 ou mais",1
"2014-06-07","intencao_espontanea","NS/NR*","idade","55 ou mais",41
"2014-06-07","intencao_espontanea","Outros","idade","55 ou mais",2
"2014-06-07","intencao_estimulada","Aécio Neves","idade","16 a 24",23
"2014-06-07","intencao_estimulada","Branco e Nulo","idade","16 a 24",13
"2014-06-07","intencao_estimulada","Dilma Rousseff","idade","16 a 24",34
"2014-06-07","intencao_estimulada","Eduardo Campos","idade","16 a 24",16
"2014-06-07","intencao_estimulada","NS/NR*","idade","16 a 24",6
"2014-06-07","intencao_estimulada","Outros","idade","16 a 24",6
"2014-06-07","intencao_estimulada","Pastor Everaldo","idade","16 a 24",2
"2014-06-07","intencao_estimulada","Aécio Neves","idade","25 a 34",21
"2014-06-07","intencao_estimulada","Branco e Nulo","idade","25 a 34",13
"2014-06-07","intencao_estimulada","Dilma Rousseff","idade","25 a 34",39
"2014-06-07","intencao_estimulada","Eduardo Campos","idade","25 a 34",14
"2014-06-07","intencao_estimulada","NS/NR*","idade","25 a 34",7
"2014-06-07","intencao_estimulada","Outros","idade","25 a 34",3
"2014-06-07","intencao_estimulada","Pastor Everaldo","idade","25 a 34",3
"2014-06-07","intencao_estimulada","Aécio Neves","idade","35 a 44",23
"2014-06-07","intencao_estimulada","Branco e Nulo","idade","35 a 44",13
"2014-06-07","intencao_estimulada","Dilma Rousseff","idade","35 a 44",39
"2014-06-07","intencao_estimulada","Eduardo Campos","idade","35 a 44",11
"2014-06-07","intencao_estimulada","NS/NR*","idade","35 a 44",8
"2014-06-07","intencao_estimulada","Outros","idade","35 a 44",4
"2014-06-07","intencao_estimulada","Pastor Everaldo","idade","35 a 44",3
"2014-06-07","intencao_estimulada","Aécio Neves","idade","45 a 54",22
"2014-06-07","intencao_estimulada","Branco e Nulo","idade","45 a 54",16
"2014-06-07","intencao_estimulada","Dilma Rousseff","idade","45 a 54",38
"2014-06-07","intencao_estimulada","Eduardo Campos","idade","45 a 54",12
"2014-06-07","intencao_estimulada","NS/NR*","idade","45 a 54",6
"2014-06-07","intencao_estimulada","Outros","idade","45 a 54",3
"2014-06-07","intencao_estimulada","Pastor Everaldo","idade","45 a 54",3
"2014-06-07","intencao_estimulada","Aécio Neves","idade","55 ou mais",24
"2014-06-07","intencao_estimulada","Branco e Nulo","idade","55 ou mais",11
"2014-06-07","intencao_estimulada","Dilma Rousseff","idade","55 ou mais",39
"2014-06-07","intencao_estimulada","Eduardo Campos","idade","55 ou mais",11
"2014-06-07","intencao_estimulada","NS/NR*","idade","55 ou mais",10
"2014-06-07","intencao_estimulada","Outros","idade","55 ou mais",2
"2014-06-07","intencao_estimulada","Pastor Everaldo","idade","55 ou mais",2
"2014-06-07","avaliacao_governo","Ótimo e bom","idade","16 a 24",23
