data,cat_pergunta,dado,cat_recorte,recorte,valor
2014-03-17,vida_hoje,Satisfeito,sexo,MAS,83
2014-03-17,vida_hoje,Insatisfeito,sexo,MAS,16
2014-03-17,vida_hoje,NS/NR*,sexo,MAS,1
2014-03-17,vida_hoje,Satisfeito,sexo,FEM,77
2014-03-17,vida_hoje,Insatisfeito,sexo,FEM,22
2014-03-17,vida_hoje,NS/NR*,sexo,FEM,0
2014-03-17,interesse,Tem muito interesse,sexo,MAS,17
2014-03-17,interesse,Tem médio interesse,sexo,MAS,30
2014-03-17,interesse,Não tem interesse,sexo,MAS,52
2014-03-17,interesse,NS/NR*,sexo,MAS,1
2014-03-17,interesse,Tem muito interesse,sexo,FEM,13
2014-03-17,interesse,Tem médio interesse,sexo,FEM,26
2014-03-17,interesse,Não tem interesse,sexo,FEM,60
2014-03-17,interesse,NS/NR*,sexo,FEM,2
2014-03-17,intencao_espontanea,Aécio Neves,sexo,MAS,8
2014-03-17,intencao_espontanea,Branco e Nulo,sexo,MAS,18
2014-03-17,intencao_espontanea,Dilma Rousseff,sexo,MAS,26
2014-03-17,intencao_espontanea,Eduardo Campos,sexo,MAS,4
2014-03-17,intencao_espontanea,Lula,sexo,MAS,8
2014-03-17,intencao_espontanea,Marina Silva,sexo,MAS,2
2014-03-17,intencao_espontanea,Não sabe,sexo,MAS,31
2014-03-17,intencao_espontanea,Outros,sexo,MAS,3
2014-03-17,intencao_espontanea,Aécio Neves,sexo,FEM,5
2014-03-17,intencao_espontanea,Branco e Nulo,sexo,FEM,18
2014-03-17,intencao_espontanea,Dilma Rousseff,sexo,FEM,21
2014-03-17,intencao_espontanea,Eduardo Campos,sexo,FEM,2
2014-03-17,intencao_espontanea,Lula,sexo,FEM,7
2014-03-17,intencao_espontanea,Marina Silva,sexo,FEM,3
2014-03-17,intencao_espontanea,Não sabe,sexo,FEM,42
2014-03-17,intencao_espontanea,Outros,sexo,FEM,3
2014-03-17,intencao_estimulada,Aécio Neves,sexo,MAS,16
2014-03-17,intencao_estimulada,Branco e Nulo,sexo,MAS,23
2014-03-17,intencao_estimulada,Dilma Rousseff,sexo,MAS,41
2014-03-17,intencao_estimulada,Eduardo Campos,sexo,MAS,7
2014-03-17,intencao_estimulada,Não sabe,sexo,MAS,9
2014-03-17,intencao_estimulada,Outros,sexo,MAS,2
2014-03-17,intencao_estimulada,Pastor Everaldo,sexo,MAS,2
