data,cat_dado,dado,cat_recorte,recorte,variavel
2014-03-17,vida_hoje,Muito satisfeito,sexo,MAS,11
2014-03-17,vida_hoje,Satisfeito,sexo,MAS,73
2014-03-17,vida_hoje,Insatisfeito,sexo,MAS,13
2014-03-17,vida_hoje,Muito insatisfeito,sexo,MAS,3
2014-03-17,vida_hoje,Não sabe/ Não respondeu,sexo,MAS,1
2014-03-17,vida_hoje,Muito satisfeito,sexo,FEM,10
2014-03-17,vida_hoje,Satisfeito,sexo,FEM,68
2014-03-17,vida_hoje,Insatisfeito,sexo,FEM,19
2014-03-17,vida_hoje,Muito insatisfeito,sexo,FEM,3
2014-03-17,vida_hoje,Não sabe/ Não respondeu,sexo,FEM,0
2014-03-17,interesse,Muito interesse,sexo,MAS,17
2014-03-17,interesse,Interesse médio,sexo,MAS,30
2014-03-17,interesse,Pouco interesse,sexo,MAS,29
2014-03-17,interesse,Nenhum interesse nas eleições que ocorrerão em outubro,sexo,MAS,23
2014-03-17,interesse,Não sabe/ Não respondeu,sexo,MAS,1
2014-03-17,interesse,Muito interesse,sexo,FEM,13
2014-03-17,interesse,Interesse médio,sexo,FEM,26
2014-03-17,interesse,Pouco interesse,sexo,FEM,30
2014-03-17,interesse,Nenhum interesse nas eleições que ocorrerão em outubro,sexo,FEM,29
2014-03-17,interesse,Não sabe/ Não respondeu,sexo,FEM,2
2014-03-17,intencao_espontanea,Aécio Neves,sexo,MAS,8
2014-03-17,intencao_espontanea,Dilma Rousseff,sexo,MAS,26
2014-03-17,intencao_espontanea,Eduardo Campos,sexo,MAS,4
2014-03-17,intencao_espontanea,José Serra,sexo,MAS,2
2014-03-17,intencao_espontanea,Lula,sexo,MAS,8
2014-03-17,intencao_espontanea,Marina Silva,sexo,MAS,2
2014-03-17,intencao_espontanea,Outros com menos de 1%,sexo,MAS,1
2014-03-17,intencao_espontanea,Branco/ Nulo,sexo,MAS,18
2014-03-17,intencao_espontanea,Não sabe/ Não respondeu,sexo,MAS,31
2014-03-17,intencao_espontanea,Aécio Neves,sexo,FEM,5
2014-03-17,intencao_espontanea,Dilma Rousseff,sexo,FEM,21
2014-03-17,intencao_espontanea,Eduardo Campos,sexo,FEM,2
2014-03-17,intencao_espontanea,José Serra,sexo,FEM,2
2014-03-17,intencao_espontanea,Lula,sexo,FEM,7
2014-03-17,intencao_espontanea,Marina Silva,sexo,FEM,3
2014-03-17,intencao_espontanea,Outros com menos de 1%,sexo,FEM,2
2014-03-17,intencao_espontanea,Branco/ Nulo,sexo,FEM,18
2014-03-17,intencao_espontanea,Não sabe/ Não respondeu,sexo,FEM,42
2014-03-17,intencao_estimulada,Aécio Neves,sexo,MAS,16
2014-03-17,intencao_estimulada,Dilma Rousseff,sexo,MAS,41
2014-03-17,intencao_estimulada,Eduardo Campos,sexo,MAS,7
2014-03-17,intencao_estimulada,Eymael,sexo,MAS,1
2014-03-17,intencao_estimulada,Levy Fidélix,sexo,MAS,0
2014-03-17,intencao_estimulada,Mauro Iasi,sexo,MAS,0
2014-03-17,intencao_estimulada,Pastor Everaldo,sexo,MAS,2
2014-03-17,intencao_estimulada,Randolfe Rodrigues,sexo,MAS,1
2014-03-17,intencao_estimulada,Branco/ Nulo,sexo,MAS,23
2014-03-17,intencao_estimulada,Não sabe/ Não respondeu,sexo,MAS,9
2014-03-17,intencao_estimulada,Aécio Neves,sexo,FEM,11
2014-03-17,intencao_estimulada,Dilma Rousseff,sexo,FEM,40
2014-03-17,intencao_estimulada,Eduardo Campos,sexo,FEM,6
2014-03-17,intencao_estimulada,Eymael,sexo,FEM,0
2014-03-17,intencao_estimulada,Levy Fidélix,sexo,FEM,0
2014-03-17,intencao_estimulada,Mauro Iasi,sexo,FEM,0
2014-03-17,intencao_estimulada,Pastor Everaldo,sexo,FEM,3
2014-03-17,intencao_estimulada,Randolfe Rodrigues,sexo,FEM,0
2014-03-17,intencao_estimulada,Branco/ Nulo,sexo,FEM,24
2014-03-17,intencao_estimulada,Não sabe/ Não respondeu,sexo,FEM,15
2014-03-17,desejo_mudanca,Mudasse totalmente o governo do país,sexo,MAS,28
2014-03-17,desejo_mudanca,"Mantivesse só alguns programas, mas mudasse muita coisa",sexo,MAS,36
2014-03-17,desejo_mudanca,Fizesse poucas mudanças e desse continuidade para muita coisa,sexo,MAS,19
2014-03-17,desejo_mudanca,Desse total continuidade ao governo atual,sexo,MAS,14
2014-03-17,desejo_mudanca,Não sabe/ Não respondeu,sexo,MAS,3
2014-03-17,desejo_mudanca,Mudasse totalmente o governo do país,sexo,FEM,25
2014-03-17,desejo_mudanca,"Mantivesse só alguns programas, mas mudasse muita coisa",sexo,FEM,38
2014-03-17,desejo_mudanca,Fizesse poucas mudanças e desse continuidade para muita coisa,sexo,FEM,19
2014-03-17,desejo_mudanca,Desse total continuidade ao governo atual,sexo,FEM,13
2014-03-17,desejo_mudanca,Não sabe/ Não respondeu,sexo,FEM,4
2014-03-17,2turno_aecio,Aécio Neves,sexo,MAS,22
2014-03-17,2turno_aecio,Dilma Rousseff,sexo,MAS,47
2014-03-17,2turno_aecio,Branco/ Nulo,sexo,MAS,24
2014-03-17,2turno_aecio,Não sabe/ Não respondeu,sexo,MAS,7
2014-03-17,2turno_aecio,Aécio Neves,sexo,FEM,17
2014-03-17,2turno_aecio,Dilma Rousseff,sexo,FEM,46
2014-03-17,2turno_aecio,Branco/ Nulo,sexo,FEM,25
2014-03-17,2turno_aecio,Não sabe/ Não respondeu,sexo,FEM,11
2014-03-17,2turno_campos,Dilma Rousseff,sexo,MAS,46
2014-03-17,2turno_campos,Marina Silva,sexo,MAS,21
2014-03-17,2turno_campos,Branco/ Nulo,sexo,MAS,24
2014-03-17,2turno_campos,Não sabe/ Não respondeu,sexo,MAS,9
2014-03-17,2turno_campos,Dilma Rousseff,sexo,FEM,44
2014-03-17,2turno_campos,Marina Silva,sexo,FEM,21
2014-03-17,2turno_campos,Branco/ Nulo,sexo,FEM,25
2014-03-17,2turno_campos,Não sabe/ Não respondeu,sexo,FEM,10
2014-03-17,vida_hoje,Muito satisfeito,idade,16 a 24,9
2014-03-17,vida_hoje,Satisfeito,idade,16 a 24,74
2014-03-17,vida_hoje,Insatisfeito,idade,16 a 24,14
2014-03-17,vida_hoje,Muito insatisfeito,idade,16 a 24,3
2014-03-17,vida_hoje,Não sabe/ Não respondeu,idade,16 a 24,0
2014-03-17,vida_hoje,Muito satisfeito,idade,25 a 34,9
2014-03-17,vida_hoje,Satisfeito,idade,25 a 34,70
2014-03-17,vida_hoje,Insatisfeito,idade,25 a 34,17
2014-03-17,vida_hoje,Muito insatisfeito,idade,25 a 34,4
2014-03-17,vida_hoje,Não sabe/ Não respondeu,idade,25 a 34,0
2014-03-17,vida_hoje,Muito satisfeito,idade,35 a 44,12
2014-03-17,vida_hoje,Satisfeito,idade,35 a 44,70
2014-03-17,vida_hoje,Insatisfeito,idade,35 a 44,15
2014-03-17,vida_hoje,Muito insatisfeito,idade,35 a 44,3
2014-03-17,vida_hoje,Não sabe/ Não respondeu,idade,35 a 44,1
2014-03-17,vida_hoje,Muito satisfeito,idade,45 a 54,8
2014-03-17,vida_hoje,Satisfeito,idade,45 a 54,70
2014-03-17,vida_hoje,Insatisfeito,idade,45 a 54,18
2014-03-17,vida_hoje,Muito insatisfeito,idade,45 a 54,3
2014-03-17,vida_hoje,Não sabe/ Não respondeu,idade,45 a 54,1
2014-03-17,vida_hoje,Muito satisfeito,idade,55 ou mais,13
2014-03-17,vida_hoje,Satisfeito,idade,55 ou mais,67
2014-03-17,vida_hoje,Insatisfeito,idade,55 ou mais,18
2014-03-17,vida_hoje,Muito insatisfeito,idade,55 ou mais,3
2014-03-17,vida_hoje,Não sabe/ Não respondeu,idade,55 ou mais,0
2014-03-17,interesse,Muito interesse,idade,16 a 24,10
2014-03-17,interesse,Interesse médio,idade,16 a 24,31
2014-03-17,interesse,Pouco interesse,idade,16 a 24,30
2014-03-17,interesse,Nenhum interesse nas eleições que ocorrerão em outubro,idade,16 a 24,27
